"Id","LotFrontage","LotArea","BldgType","OverallQual","OverallCond","FullBath","HalfBath","TotRmsAbvGrd","YearBuilt","TotalBsmtSF","BedroomAbvGr","Heating","CentralAir","GrLivArea","PoolArea","YrSold","SalePrice","Age","BldgType_1Fam","BldgType_TwnhsE","Heating_GasA","Heating_GasW","CentralAir_Y"
1,50,13500,"1Fam",10,5,1,0,6,2007,483,4,"GasA","Y",630,0,2008,200509.940822934,16,1,0,1,0,1
2,69.3790508556864,10237,"1Fam",8,5,1,0,6,1981,1176,3,"GasA","Y",1316,0,2006,187209.812454776,42,1,0,1,0,1
3,69.3790508556864,11341,"1Fam",6,6,1,0,5,1994,1151,2,"GasA","Y",1477,0,2010,178669.148091419,29,1,0,1,0,1
4,90,8414,"1Fam",10,6,1,1,6,1925,884,6,"GasA","N",1204,0,2008,234584.885933401,98,1,0,1,0,0
5,69,4435,"1Fam",6,5,2,0,5,1918,969,2,"GasA","Y",1349,0,2009,95970.9848132284,105,1,0,1,0,1
6,60,7015,"Duplex",4,6,2,0,6,2005,1029,3,"GasA","Y",1376,0,2007,170605.121743504,18,0,0,1,0,1
7,69.3790508556864,14850,"1Fam",4,3,2,1,7,1967,952,3,"GasA","Y",1733,0,2009,179064.676026179,56,1,0,1,0,1
8,69.3790508556864,2117,"1Fam",7,5,1,1,5,1975,793,3,"GasA","Y",923,0,2008,127907.391655707,48,1,0,1,0,1
9,90,8978,"1Fam",4,5,1,1,6,1937,732,3,"GasA","Y",1639,0,2009,120158.764334004,86,1,0,1,0,1
10,65,9170,"Duplex",6,5,2,1,6,1952,520,3,"GasA","Y",1224,0,2008,103548.35213166,71,0,0,1,0,1
11,21,7449,"1Fam",5,7,2,0,6,1980,1947,3,"GasA","Y",1872,0,2009,169545.452224439,43,1,0,1,0,1
12,40,39104,"2fmCon",7,7,2,1,8,1969,1581,4,"GasA","Y",1094,0,2009,233671.045990743,54,0,0,1,0,1
13,80,8410,"1Fam",5,5,1,1,6,1962,1188,3,"GasA","Y",1713,0,2007,147853.187938147,61,1,0,1,0,1
14,174,10452,"Duplex",5,6,1,1,6,1928,960,3,"GasA","Y",1744,0,2009,152404.527978146,95,0,0,1,0,1
15,36,6897,"1Fam",6,5,2,1,7,1922,1099,4,"GasA","Y",899,0,2007,110976.153750588,101,1,0,1,0,1
16,60,16669,"TwnhsE",7,6,2,0,6,1977,910,2,"GasA","Y",792,0,2006,182269.964314259,46,0,1,1,0,1
17,69.3790508556864,12704,"1Fam",5,7,1,0,11,1964,1694,1,"GasA","N",1721,0,2006,197673.743368731,59,1,0,1,0,0
18,70,9000,"1Fam",9,6,1,0,5,1976,1372,4,"GasA","Y",1314,0,2006,216603.048605418,47,1,0,1,0,1
19,72,10083,"1Fam",6,5,2,1,5,2008,612,2,"GasA","Y",1382,0,2009,150997.163219581,15,1,0,1,0,1
20,75,7642,"1Fam",7,6,2,0,5,2006,1792,3,"GasA","Y",2240,0,2008,260084.0253189,17,1,0,1,0,1
21,41,12376,"Duplex",6,6,1,0,8,1940,1362,2,"GasA","Y",960,0,2008,120459.373026174,83,0,0,1,0,1
22,57,10000,"TwnhsE",8,6,1,1,5,2000,1150,3,"GasA","Y",1766,0,2006,262293.21260791,23,0,1,1,0,1
23,69.3790508556864,7861,"1Fam",7,7,2,0,5,1995,612,2,"GasA","Y",2046,0,2006,171639.292388773,28,1,0,1,0,1
24,82,1680,"1Fam",4,5,2,0,6,2005,848,3,"GasA","Y",2554,0,2008,162788.791270824,18,1,0,1,0,1
25,35,7875,"1Fam",5,6,1,0,5,1949,982,3,"GasA","Y",1294,0,2007,119918.317372435,74,1,0,1,0,1
26,69.3790508556864,8544,"1Fam",7,5,1,0,4,2002,1040,3,"GasA","Y",1689,0,2009,177345.566602785,21,1,0,1,0,1
27,78,6768,"1Fam",5,8,1,0,6,1981,1237,2,"GasA","Y",1097,0,2006,143029.015241695,42,1,0,1,0,1
28,116,6762,"1Fam",4,5,2,0,7,2006,702,2,"GasA","Y",630,0,2006,114319.429814336,17,1,0,1,0,1
29,75,16659,"1Fam",6,4,1,0,9,1924,969,3,"GasA","Y",835,0,2008,117328.716595528,99,1,0,1,0,1
30,53,6960,"1Fam",6,9,1,0,8,1977,798,4,"GasA","Y",1040,0,2009,122116.030361991,46,1,0,1,0,1
31,69.3790508556864,9938,"1Fam",7,7,1,1,5,1910,1094,3,"GasA","Y",1720,0,2010,219380.773937144,113,1,0,1,0,1
