"Id","sulphates","total.sulfur.dioxide","free.sulfur.dioxide","density","citric.acid","fixed.acidity","volatile.acidity","chlorides","alcohol","residual.sugar","pH"
600,0.49,132,14,0.994,0.34,6.3,0.3,0.049,9.5,1.6,3.3
601,0.44,97,30,0.9951,0.4,8.1,0.28,0.05,10.1,6.9,3.26
602,0.4,186,47,0.9956,0.32,7.2,0.23,0.058,9.9,8.5,3.19
603,0.47,136,30,0.9949,0.16,6.2,0.32,0.045,9.6,7,3.18
604,0.49,132,14,0.994,0.34,6.3,0.3,0.049,9.5,1.6,3.3
605,0.45,129,28,0.9938,0.43,8.1,0.22,0.044,11,1.5,3.22
606,0.55,112,28,0.9914,0.38,6.6,0.17,0.032,11.4,1.5,3.25
607,0.53,171,17,0.9917,0.42,7.4,0.34,0.033,11.3,1.1,3.12
608,0.39,75,29,0.9892,0.48,6.2,0.66,0.029,12.8,1.2,3.33
609,0.48,122,41,0.993,0.42,6.8,0.26,0.049,10.5,1.7,3.47
610,0.47,142,16,0.9951,0.41,6.6,0.27,0.052,10,1.3,3.42
611,0.44,146,35,0.993,0.35,6.9,0.24,0.052,10,1,3.45
612,0.4,47,7,0.9934,0.34,8.3,0.14,0.042,10.2,1.1,3.47
613,0.51,117,43,0.9939,0.34,6.2,0.12,0.045,9,1.5,3.42
614,0.35,149,25,0.9934,0.23,6.5,0.39,0.051,10,5.4,3.24
615,0.36,149,45,0.9999,0.39,7.3,0.24,0.057,8.6,17.95,3.21
616,0.53,167,38,0.9931,0.31,7.4,0.18,0.058,10,1.4,3.16
617,0.46,160,28,0.9954,0.26,7,0.31,0.069,9.8,7.4,3.13
618,0.44,173,31,0.9917,0.31,7.2,0.19,0.062,11.7,1.6,3.35
619,0.58,124,39,0.9914,0.29,6.6,0.25,0.068,11,1.1,3.34
620,0.35,108,39,0.9911,0.35,6.4,0.18,0.045,10.9,1,3.31
621,0.38,132,38,0.993,0.59,6.8,0.2,0.147,9.1,0.9,3.05
622,0.5,213,37,0.9962,0.34,7.2,0.21,0.043,9.6,11.9,3.09
623,0.36,147,50,0.9972,0.26,6,0.19,0.048,8.9,12.4,3.3
624,0.38,78,25,0.9931,0.15,6.6,0.38,0.044,10.2,4.6,3.11
625,0.46,122,31,0.9927,0.27,7.2,0.24,0.038,10.3,1.4,3.15
626,0.42,174,81,0.992,0.13,6.7,0.25,0.041,9.8,1.2,3.14
627,0.49,72,9,0.9941,0.46,8.6,0.23,0.054,9.1,1,2.95
628,0.64,96,30,0.9926,0.31,6.7,0.23,0.046,10.7,2.1,3.33
629,0.37,87,31,0.9898,0.36,7.1,0.18,0.043,12.7,1.4,3.26
630,0.56,103,26,0.9961,0.3,7.4,0.18,0.064,9.3,8.8,2.94
631,0.42,164,47,0.9946,0.2,7.1,0.34,0.063,10,6.1,3.17
632,0.46,207,42,0.9966,0.3,7.3,0.22,0.047,9.5,8.2,3.33
633,0.47,243,65,0.9957,0.43,6.1,0.27,0.049,9,7.5,3.12
634,0.41,136,48,0.9899,0.33,6.9,0.21,0.034,12.6,1.8,3.25
635,0.3,83,4,0.9956,0.46,9.8,0.36,0.038,10.1,10.5,2.89
636,0.41,162,64,0.9962,0.32,7.1,0.12,0.054,9.4,9.6,3.4
637,0.39,164,55,0.997,0.24,6,0.21,0.05,9.4,12.1,3.34
638,0.59,171,60,0.999,0.35,7.1,0.23,0.04,9.1,16.5,3.16
639,0.6,187,37,0.9927,0.28,6.9,0.33,0.051,10.3,1.3,3.27
640,0.51,150,29,0.9968,0.34,6.7,0.41,0.049,9.1,9.2,3.22
641,0.44,143,25,0.9914,0.24,6,0.31,0.041,11.3,3.3,3.31
642,0.42,85,16,0.9911,0.4,7,0.14,0.035,11.8,1.7,3.19
643,0.54,138,42,0.9984,0.32,7.8,0.24,0.054,8.8,12.2,3.01
644,0.36,146,14,0.9952,0.28,6.9,0.19,0.058,9.1,5,3.29
645,0.36,158,40,0.9928,0.47,6.4,0.13,0.092,9.8,1.6,3.21
646,0.57,179,47,0.9924,0.56,6.1,0.3,0.044,10.9,2.8,3.3
647,0.54,203,48,0.9958,0.32,6.5,0.24,0.038,9.7,7.6,3.45
648,0.52,203,55,0.9961,0.22,6.8,0.27,0.034,8.9,8.1,3.19
649,0.38,121,36,0.992,0.4,8.2,0.23,0.027,10.7,1.2,3.12
650,0.44,155,49,0.9975,0.67,7.1,0.37,0.045,8.7,10.5,3.16
651,0.52,79,18,0.9923,0.39,8.1,0.28,0.029,11.8,1.9,3.23
652,0.44,155,49,0.9975,0.67,7.1,0.37,0.045,8.7,10.5,3.16
653,0.53,99,24,0.9947,0.41,8.5,0.21,0.036,9.7,4.3,3.18
654,0.54,87,19,0.9921,0.4,8.1,0.2,0.037,11.2,2,3.12
655,0.58,80,19,0.9917,0.33,6.3,0.34,0.034,12,4.6,3.38
656,0.38,116,23,0.994,0.3,6.9,0.25,0.054,9.4,4.1,2.99
657,0.32,152,46,0.9934,0.38,7.9,0.22,0.043,11.5,8,3.12
658,0.38,116,23,0.994,0.3,6.9,0.25,0.054,9.4,4.1,2.99
659,0.42,198,48,0.9979,0.42,7.4,0.24,0.066,8.9,14,2.89
660,0.4,159,27,0.998,0.56,6.4,0.22,0.055,9.1,14.5,2.98
661,0.42,198,48,0.9979,0.42,7.4,0.24,0.066,8.9,14,2.89
662,0.5,205,64,0.997,0.35,6.7,0.24,0.05,9.5,13.1,3.15
663,0.44,98,25,0.9896,0.18,6.7,0.46,0.034,12.6,2.4,3.08
664,0.54,151,20,0.9968,0.31,7.5,0.29,0.055,9.3,8.95,3.08
665,0.29,110,5,0.9958,0.48,9.8,0.42,0.034,10,9.85,2.87
666,0.39,96,17,0.9917,0.45,7.9,0.19,0.045,11,1.5,3.13
667,0.27,151,50,0.9927,0.4,6.9,0.23,0.04,11.4,7.5,3.11
668,0.43,183,61,0.9936,0.15,7.1,0.34,0.053,9.2,1.2,3.09
669,0.57,109,26,0.9906,0.35,6.8,0.53,0.034,12.7,3.8,3.26
670,0.37,123,28,0.9928,0.36,6.8,0.28,0.045,11.4,8,3.02
671,0.47,214,54,0.9961,0.24,6.8,0.26,0.052,8.9,7.8,3.13
672,0.49,204,52,0.998,0.24,7.1,0.32,0.05,8.8,13.1,3.1
673,0.5,196,55,0.9984,0.26,6.8,0.27,0.049,9.3,16.1,3.15
674,0.5,236,53,0.9973,0.32,6.9,0.54,0.05,9.6,13.2,3.2
675,0.53,134,39,0.9949,0.34,6.8,0.26,0.034,12,13.9,3.33
676,0.43,153,45,0.9972,0.5,6.4,0.21,0.042,8.8,11.6,3.15
677,0.59,111,35,0.9918,0.38,6.8,0.18,0.038,11.2,1.4,3.32
678,0.34,126,38,0.9958,0.32,7,0.16,0.045,9.2,8.3,3.21
679,0.44,105,35,0.9912,0.25,6.2,0.25,0.03,11.1,1.4,3.3
680,0.38,152,55,0.9961,0.24,5.8,0.26,0.044,9.4,9.2,3.31
681,0.32,161,43,0.9938,0.36,7.5,0.23,0.036,11,7,3.04
682,0.55,172,33,0.9971,0.21,7.2,0.685,0.07,9.1,9.5,3
683,0.39,145,39,0.9998,0.41,7.1,0.24,0.046,8.7,17.8,3.32
684,0.52,272,66,0.9969,0.32,7.1,0.25,0.041,9.1,10.3,3.17
685,0.5,200,41,0.9938,0.32,6.4,0.17,0.048,9.7,2.4,3.5
686,0.39,145,39,0.9998,0.41,7.1,0.24,0.046,8.7,17.8,3.32
687,0.44,194,55,0.9979,0.38,7.2,0.23,0.058,9,14.3,3.09
688,0.44,194,55,0.9979,0.38,7.2,0.23,0.058,9,14.3,3.09
689,0.41,120,40,0.9918,0.59,7,0.26,0.037,11.1,1.4,3.34
690,0.64,159,28,0.9982,0.21,6.2,0.25,0.039,9.6,15.55,3.48
691,0.5,90,23,0.9944,0.26,7.7,0.31,0.031,10.4,7.8,3.13
692,0.58,218.5,64.5,0.9934,0.34,6.8,0.24,0.047,9.7,2.7,3.3
693,0.61,139,26,0.99,0.27,6.8,0.21,0.03,12.6,2.1,3.16
694,0.5,197,41,0.998,0.21,8.5,0.26,0.074,9.8,16.2,3.02
695,0.41,97,8,0.9927,0.3,6.3,0.35,0.035,11,5.7,3.27
696,0.5,118,23,0.9912,0.39,6.4,0.23,0.032,11.8,1.8,3.32
697,0.33,95,15,0.9944,0.4,6.9,0.28,0.036,10.2,8.2,3.17
698,0.59,231,66,0.9977,0.4,7.2,0.29,0.045,9.6,13.6,3.08
699,0.47,156,36,0.9996,0.4,6.9,0.29,0.043,8.9,19.45,2.93
700,0.38,148,44,0.9972,0.26,5.8,0.25,0.051,9.3,13.1,3.29
701,0.5,60,9,0.9915,0.4,7.7,0.26,0.042,10.6,1.1,2.89
702,0.47,67,14,0.9919,0.34,6.8,0.32,0.044,10.6,1.2,3.05
703,0.68,105,17,0.9916,0.49,7,0.3,0.036,12.4,4.7,3.26
704,0.49,196,51,0.9982,0.3,6.7,0.34,0.054,9.3,15.6,3.19
705,0.49,198,46,0.9988,0.24,7.1,0.35,0.055,8.8,15.4,3.12
706,0.47,180,47,0.9961,0.25,7.3,0.32,0.056,8.8,7.2,3.08
707,0.51,190,51,0.9978,0.33,6.5,0.28,0.053,9.7,15.7,3.22
708,0.48,192,49,0.9979,0.39,7.2,0.23,0.058,9,14.2,2.98
709,0.48,192,49,0.9979,0.39,7.2,0.23,0.058,9,14.2,2.98
710,0.44,195,53,1,0.42,7.4,0.28,0.066,9.1,19.8,2.96
711,0.57,169,33,0.9976,0.7,8.3,0.39,0.045,9.4,10.6,3.09
712,0.45,146,65,0.997,0.44,7.5,0.17,0.046,10,11.3,3.17
713,0.45,122,27,0.9923,0.5,6.7,0.17,0.043,10.3,2.1,3.15
714,0.38,74,12,0.992,0.35,8.3,0.2,0.05,10.5,0.9,3.13
