"sulphates","total.sulfur.dioxide","free.sulfur.dioxide","density","citric.acid","fixed.acidity","volatile.acidity","chlorides","alcohol","residual.sugar","pH","quality"
0.47,132,43,0.9916,0.28,6.1,0.44,0.032,11.3,4.25,3.26,7
0.52,176.5,61,0.99803,0.48,7.5,0.35,0.056,8.8,12.4,2.97,5
0.58,166,50,0.9954,0.41,6.7,0.2,0.044,9.8,9.1,3.14,6
0.6,173,55,0.99699,0.26,7.4,0.27,0.053,9.8,11.8,3.11,5
0.36,127,31,0.98904,0.39,4.4,0.32,0.03,12.8,4.3,3.46,8
0.57,145,34,0.9945,0.07,5.3,0.585,0.044,9.7,7.1,3.34,6
0.77,154,53,0.99752,0.43,6.6,0.19,0.045,10.4,10.9,3.52,6
0.48,179,49,0.99528,0.44,6.4,0.28,0.048,9.2,7.1,3.15,5
0.44,110,19,0.9946,0.49,7.5,0.19,0.055,9.9,1.8,3.33,5
0.4,122,21,0.99238,0.57,6.4,0.25,0.062,9.5,1,3,5
0.5,162,21,0.99497,0.34,9,0.26,0.029,10.6,6.7,3.08,6
0.44,120,40,0.9914,0.32,7,0.22,0.045,10.5,1.6,2.98,6
0.5,162,54,0.9968,0.32,6.4,0.24,0.047,10.2,14.9,3.28,6
0.61,166,49,0.9954,0.41,6.7,0.24,0.04,9.9,9.4,3.12,6
0.45,155,54,0.9974,0.61,7.1,0.43,0.045,8.7,11.8,3.11,5
0.37,136,50,0.99704,0.3,6.6,0.22,0.045,10.6,14.7,3.14,6
0.44,164,54,0.9946,0.49,6.4,0.145,0.048,10.8,5.4,3.56,6
0.46,150,41,0.99534,0.38,7.4,0.23,0.052,10.3,8.6,3.06,5
0.5,123,31,0.99708,0.61,6.5,0.31,0.053,9.3,13,3.09,6
0.41,119,16,0.99416,0.26,6,0.33,0.051,9.2,5.1,3.15,5
0.57,152,40,0.9938,0.32,6.8,0.22,0.054,10.8,5.9,3.2,6
0.45,162.5,62,0.9984,0.54,7.3,0.28,0.049,9.1,12.9,3.06,6
0.49,200,58,0.99556,0.42,6.8,0.27,0.054,9.4,7.3,3.12,6
0.34,105,31,0.99146,0.32,6.8,0.32,0.029,12.3,8.7,3,7
0.55,84,24,0.99168,0.28,6.4,0.2,0.032,11.5,2.5,3.31,5
0.44,130,29,0.99496,0.27,6.6,0.2,0.038,10.5,10.9,3.11,7
