Id,Water_.g.,Energ_Kcal,Protein_.g.,Lipid_Tot_.g.,Ash_.g.,Carbohydrt_.g.,Fiber_TD_.g.,Sugar_Tot_.g.,Calcium_.mg.,Iron_.mg.,Magnesium_.mg.,Phosphorus_.mg.,Potassium_.mg.,Sodium_.mg.,Zinc_.mg.,Copper_.mg.,Manganese_.mg.,Selenium_.µg.,Vit_C_.mg.,Thiamin_.mg.,Riboflavin_.mg.,Niacin_.mg.,Panto_Acid_.mg.,Vit_B6_.mg.,Folate_Tot_.µg.,Folic_Acid_.µg.,Food_Folate_.µg.,Folate_DFE_.µg.,Choline_Tot_.mg.,Vit_B12_.µg.,Vit_A_IU,Vit_A_RAE,Retinol_.µg.,Alpha_Carot_.µg.,Beta_Carot_.µg.,Beta_Crypt_.µg.,Lycopene_.µg.,Lut.Zea_.µg.,Vit_E_.mg.,Vit_D_µg,Vit_D_IU,Vit_K_.µg.,FA_Sat_.g.,FA_Mono_.g.,FA_Poly_.g.,Cholestrl_.mg.
1,15.87,717,0.85,81.11,2.11,0.0599999999999987,0,0.0600000000000005,24,0.02,2,24,24,643,0.0899999999999999,0,0,1,0,0.005,0.034,0.0419999999999998,0.11,0.003,3,0,3,2.99999999999999,18.8,0.17,2499,684,671,0,158,0,0,0,2.32,0,0,7,51.368,21.021,3.043,215
2,16.72,718,0.49,78.3,1.62,2.87,0,0.0600000000000005,23,0.0499999999999998,1,24,41,583,0.0499999999999998,0.01,0.001,0,0,0.00700000000000001,0.064,0.0220000000000002,0.097,0.00800000000000001,3.99999999999999,0,4,4,18.8,0.0700000000000001,2468,683,671,1,135,6,0,13,1.37,0,0,4.6,45.39,19.874,3.331,225
3,42.41,353,21.4,28.74,5.11,2.34,0,0.5,528,0.31,23,387,256,1146,2.66,0.04,0.00900000000000001,14.5,0,0.029,0.382,1.016,1.729,0.166,36,0,36,36,15.4,1.22,721,198,192,0,74,0,0,0,0.25,0.5,21,2.4,18.669,7.778,0.8,75
4,48.42,334,20.75,27.68,2.7,0.449999999999999,0,0.449999999999999,184,0.5,20,188,152,629,2.38,0.019,0.034,14.5,0,0.07,0.52,0.38,0.69,0.235,65,0,65,65,15.4,1.65,592,174,173,0,9,0,0,0,0.24,0.5,20,2.3,17.41,8.013,0.826,100
5,51.8,300,19.8,24.26,3.68,0.460000000000001,0,0.460000000000001,388,0.33,20,347,187,842,2.38,0.021,0.038,14.5,0,0.028,0.488,0.63,1.364,0.227,62,0,62,62,15.4,1.3,820,241,240,0,12,0,0,0,0.21,0.4,18,2,15.259,7.023,0.724,72
6,39.28,376,25.18,29.2,3.28,3.06,0,1.6675,673,0.64,22,490,93,690,2.94,0.024,0.021,14.5,0,0.031,0.45,0.18,0.19,0.074,18,0,18,18,16.49,0.27,1054,271,262,0.0500000000000007,45.5,0.0999999999999996,0.0499999999999829,0.399999999999977,0.3495,0.625,25.15,2.4,18.584,8.275,0.83,93
7,38.2,394,23.76,32.11,3.36,2.57,0,0.52,685,0.76,26,457,127,604,3.07,0.042,0.012,14.5,0,0.015,0.375,0.093,0.21,0.079,18,0,18,18,15.4,0.83,994,264,257,0,82,0,0,0,0.28,0.6,24,2.7,20.218,9.28,0.953,95
8,79.79,98,11.12,4.3,1.41,3.38,0,2.67,83,0.0699999999999998,8,159,104,364,0.4,0.029,0.002,9.7,0,0.027,0.163,0.0990000000000002,0.557,0.046,12,0,12,12,18.4,0.43,140,37,36,0,12,0,0,0,0.0800000000000001,0.1,3,0,1.718,0.778,0.123,17
9,79.64,97,10.69,3.85,1.2,4.61,0.2,2.38,53,0.16,7,113,90,344,0.33,0.04,0.003,7.7,1.4,0.033,0.142,0.15,0.181,0.068,11,0,11,11,17.5,0.53,146,38,37,0,14,0,0,0,0.0400000000000003,0,0,0.4,2.311,1.036,0.124,13
10,81.01,72,10.34,0.289999999999999,1.71,6.66,0,1.85,86,0.15,11,190,137,372,0.47,0.03,0.022,9.4,0,0.023,0.226,0.144,0.446,0.016,8.99999999999999,0,9,9,17.9,0.46,8,2,2,0,0,0,0,0,0.01,0,0,0,0.169,0.0789999999999997,0.00300000000000011,7
11,41.56,357,24.99,27.8,4.22,1.43,0,1.43,731,0.44,30,536,188,812,3.75,0.036,0.011,14.5,0,0.037,0.389,0.0819999999999999,0.281,0.076,16,0,16,16,15.4,1.54,825,243,242,0,11,0,0,0,0.24,0.5,20,2.3,17.572,8.125,0.665,89
12,55.22,264,14.21,21.28,5.2,4.09,0,4.09,493,0.65,19,337,62,917,2.88,0.032,0.028,15,0,0.154,0.844,0.991,0.967,0.424,32,0,32,32,15.4,1.69,422,125,125,0,3,0,0,0,0.18,0.4,16,1.8,14.946,4.623,0.591,89
13,37.92,389,25.6,31.14,3.79,1.55,0,1.55,550,0.23,14,346,64,800,3.5,0.025,0.014,14.5,0,0.021,0.204,0.15,0.429,0.083,6,0,6,6,15.4,1.68,913,261,258,0,32,0,0,0,0.27,0.6,23,2.6,19.196,8.687,1.654,116
14,13.44,466,9.65,29.51,4.75,42.65,0,47.0165,400,0.52,70,444,1409,600,1.14,0.08,0.04,14.5,0,0.315,1.382,0.813,3.351,0.271,5,0,5,5,81.705,2.42,1113,334,334,0,44.3,6.1,0,15.85,4.382,5.605,224.1,30.99,19.16,7.879,0.938,94
15,41.46,356,24.94,27.44,3.94,2.22,0,2.22,700,0.24,29,546,121,819,3.9,0.036,0.011,14.5,0,0.03,0.334,0.0630000000000006,0.34,0.08,21,0,21,21,15.4,1.54,563,165,164,0,10,0,0,0,0.24,0.5,20,2.3,17.614,7.747,0.657,114
16,41.01,373,24.48,30.28,3.55,0.68,0,0.5,746,0.72,27,444,81,600,3,0.032,0.011,14.5,0,0.015,0.39,0.093,0.21,0.079,18,0,18,18,15.4,0.83,769,198,192,0,78,0,0,0,0.26,0.6,22,2.5,19.066,8.751,0.899,89
